"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Saucedemo","Checkout","Happy path checkout","0","0","1","0","0"
"","Booking CRUD","Creating bookings with different guest data","0","0","3","0","0"
"restful-booker","Booking CRUD","Read booking","0","0","1","0","0"
"","Authentication","Standard user logs in successfully","0","0","1","0","0"
"","Shopping Cart","Multiple items appear in the cart","0","0","1","0","0"
"","Session Management","Logged-out user cannot access the inventory page directly","0","0","1","0","0"
"","Checkout","Successful end-to-end checkout","0","0","1","0","0"
"Saucedemo","Shopping cart","Add single item","0","0","1","0","0"
"","Inventory Management","Sorting products updates the displayed order","0","0","4","0","0"
"","Authentication","Invalid login attempts show the correct error","0","0","3","0","0"
"restful-booker","Booking CRUD","Delete booking","0","0","1","0","0"
"","API Authentication","Valid credentials return an auth token","0","0","1","0","0"
"restful-booker","Booking CRUD","Create booking","0","0","1","0","0"
"restful-booker","Authentication","Token issuance","0","0","1","0","0"
"","Booking CRUD","Read a created booking","0","0","1","0","0"
"","Booking CRUD","Delete a booking removes it","0","0","1","0","0"
"restful-booker","Booking CRUD","Update booking","0","0","1","0","0"
"Saucedemo","Authentication","Happy path login","0","0","1","0","0"
"","Inventory Management","Remove an item from the inventory page","0","0","1","0","0"
"Saucedemo","Authentication","Locked-out user","0","0","1","0","0"
"Saucedemo","Authentication","Invalid credentials","0","0","1","0","0"
"","Authentication","Named user logs in with explicit credentials","0","0","1","0","0"
"","Booking CRUD","Update a booking with a valid token","0","0","1","0","0"
"Saucedemo","Shopping cart","Add multiple items","0","0","1","0","0"
"","Session Management","User can log out from the inventory page","0","0","1","0","0"
"","Booking CRUD","Create a booking with custom check-in and check-out dates","0","0","1","0","0"
"","Booking CRUD","Create a booking returns a booking ID","0","0","1","0","0"
"","Checkout","Missing postal code blocks checkout","0","0","1","0","0"
"","Inventory Management","Sort by name ascending produces alphabetical order","0","0","1","0","0"
"","Shopping Cart","Adding one item updates the cart badge","0","0","1","0","0"
"","Inventory Management","Sort by price ascending produces lowest-first order","0","0","1","0","0"
"","Inventory Management","Remove an item from the cart page","0","0","1","0","0"
"Saucedemo","Checkout","Required field validation","0","0","1","0","0"
