"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 22:02:11 UTC 2026","Thu May 14 22:02:11 UTC 2026","515","","Booking CRUD","","Creating bookings with different guest data","","Creating bookings with different guest data","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:02:25 UTC 2026","Thu May 14 22:02:27 UTC 2026","1744","","Session Management","","User can log out from the inventory page","","User can log out from the inventory page","  As a Saucedemo user
  I want to log out of the application
  So that my session is terminated and the login page is shown"
"passed","Thu May 14 22:02:15 UTC 2026","Thu May 14 22:02:16 UTC 2026","847","","Inventory Management","","Remove an item from the inventory page","","Remove an item from the inventory page","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:01:49 UTC 2026","Thu May 14 22:01:53 UTC 2026","3430","","com.qaframework.ui.tests.CartTest","","com.qaframework.ui.tests.CartTest","multipleItemsAppearInCart","Adding multiple items shows all in the cart page",""
"passed","Thu May 14 22:01:49 UTC 2026","Thu May 14 22:01:52 UTC 2026","3110","","com.qaframework.ui.tests.LoginTest","","com.qaframework.ui.tests.LoginTest","invalidCredentialsRejected","Invalid credentials produce an error and stay on the login page",""
"passed","Thu May 14 22:02:19 UTC 2026","Thu May 14 22:02:20 UTC 2026","785","","Inventory Management","","Sorting products updates the displayed order","","Sorting products updates the displayed order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:02:19 UTC 2026","Thu May 14 22:02:19 UTC 2026","772","","Inventory Management","","Sorting products updates the displayed order","","Sorting products updates the displayed order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:01:59 UTC 2026","Thu May 14 22:02:01 UTC 2026","1729","","API Authentication","","Valid credentials return an auth token","","Valid credentials return an auth token","  As a restful-booker API consumer
  I want to authenticate with valid credentials
  So that I can use protected endpoints"
"passed","Thu May 14 22:02:24 UTC 2026","Thu May 14 22:02:25 UTC 2026","724","","Authentication","","Invalid login attempts show the correct error","","Invalid login attempts show the correct error","  As a Saucedemo user
  I want to log in to the application
  So that I can access the product inventory"
"passed","Thu May 14 22:02:12 UTC 2026","Thu May 14 22:02:13 UTC 2026","952","","Shopping Cart","","Multiple items appear in the cart","","Multiple items appear in the cart","  As a logged-in Saucedemo user
  I want to add products to my cart
  So that I can review them before purchasing"
"passed","Thu May 14 22:02:27 UTC 2026","Thu May 14 22:02:29 UTC 2026","1797","","Session Management","","Logged-out user cannot access the inventory page directly","","Logged-out user cannot access the inventory page directly","  As a Saucedemo user
  I want to log out of the application
  So that my session is terminated and the login page is shown"
"passed","Thu May 14 22:02:18 UTC 2026","Thu May 14 22:02:19 UTC 2026","784","","Inventory Management","","Sorting products updates the displayed order","","Sorting products updates the displayed order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:02:01 UTC 2026","Thu May 14 22:02:01 UTC 2026","595","","Booking CRUD","","Create a booking returns a booking ID","","Create a booking returns a booking ID","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:02:11 UTC 2026","Thu May 14 22:02:12 UTC 2026","928","","Shopping Cart","","Adding one item updates the cart badge","","Adding one item updates the cart badge","  As a logged-in Saucedemo user
  I want to add products to my cart
  So that I can review them before purchasing"
"passed","Thu May 14 22:02:10 UTC 2026","Thu May 14 22:02:10 UTC 2026","508","","Booking CRUD","","Creating bookings with different guest data","","Creating bookings with different guest data","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:02:08 UTC 2026","Thu May 14 22:02:09 UTC 2026","681","","Booking CRUD","","Delete a booking removes it","","Delete a booking removes it","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"failed","Thu May 14 22:02:01 UTC 2026","Thu May 14 22:02:08 UTC 2026","6619","","Booking CRUD","","Read a created booking","","Read a created booking","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:02:25 UTC 2026","Thu May 14 22:02:25 UTC 2026","712","","Authentication","","Invalid login attempts show the correct error","","Invalid login attempts show the correct error","  As a Saucedemo user
  I want to log in to the application
  So that I can access the product inventory"
"passed","Thu May 14 22:01:49 UTC 2026","Thu May 14 22:01:53 UTC 2026","3734","","com.qaframework.ui.tests.CheckoutTest","","com.qaframework.ui.tests.CheckoutTest","endToEndCheckoutSucceeds","User can complete a checkout end-to-end",""
"passed","Thu May 14 22:02:21 UTC 2026","Thu May 14 22:02:22 UTC 2026","802","","Inventory Management","","Sort by price ascending produces lowest-first order","","Sort by price ascending produces lowest-first order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:01:53 UTC 2026","Thu May 14 22:01:55 UTC 2026","1932","","com.qaframework.ui.tests.CheckoutTest","","com.qaframework.ui.tests.CheckoutTest","missingPostalCodeBlocksCheckout","Missing postal code blocks checkout continuation",""
"passed","Thu May 14 22:02:10 UTC 2026","Thu May 14 22:02:11 UTC 2026","496","","Booking CRUD","","Creating bookings with different guest data","","Creating bookings with different guest data","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:01:54 UTC 2026","Thu May 14 22:01:55 UTC 2026","1089","","com.qaframework.ui.tests.LoginTest","","com.qaframework.ui.tests.LoginTest","lockedOutUserCannotLogIn","Locked-out user sees the expected error message",""
"passed","Thu May 14 22:02:16 UTC 2026","Thu May 14 22:02:17 UTC 2026","910","","Inventory Management","","Remove an item from the cart page","","Remove an item from the cart page","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
